title,type,source,episodes,airing,studio
Inu x Boku SS,TV,Manga,12,False,David Production
Seto no Hanayome,TV,Manga,26,False,Gonzo
Shugo Chara!! Doki,TV,Manga,51,False,Satelight
Princess Tutu,TV,Original,38,False,Hal Film Maker
Bakuman. 3rd Season,TV,Manga,25,False,J.C.Staff
Yume-iro Pâtissière,TV,Manga,50,False,Studio Pierrot
Ultra Maniac,TV,Manga,26,False,Production Reed
Shakugan no Shana II (Second),TV,Light novel,24,False,J.C.Staff
Nodame Cantabile: Paris-hen,TV,Manga,11,False,J.C.Staff
Ouran Koukou Host Club,TV,Manga,26,False,Bones
Junjou Romantica 2,TV,Manga,12,False,Studio Deen
Kaichou wa Maid-sama!,TV,Manga,26,False,J.C.Staff
Sekaiichi Hatsukoi 2,TV,Manga,12,False,Studio Deen
Tonari no Kaibutsu-kun,TV,Manga,13,False,Brain&#039;s Base
Bleach,TV,Manga,366,False,Studio Pierrot
Chobits,TV,Manga,26,False,Madhouse
Kimi ni Todoke,TV,Manga,25,False,Production I.G
Naruto: Shippuuden,TV,Manga,500,False,Studio Pierrot
Ranma ½,TV,Manga,161,False,Studio Deen
Toradora!,TV,Light novel,25,False,J.C.Staff
Bakuman. 2nd Season,TV,Manga,25,False,J.C.Staff
Gakuen Alice,TV,Manga,26,False,Group TAC
Skip Beat!,TV,Manga,25,False,Hal Film Maker
Chihayafuru 2,TV,Manga,25,False,Madhouse
Shounen Onmyouji,TV,Light novel,26,False,Studio Deen
Chihayafuru,TV,Manga,25,False,Madhouse
Itazura na Kiss,TV,Manga,25,False,TMS Entertainment
Beelzebub,TV,Manga,60,False,Pierrot Plus
Hanasakeru Seishounen,TV,Manga,39,False,Studio Pierrot
SKET Dance,TV,Manga,77,False,Tatsunoko Production
B-gata H-kei,TV,4-koma manga,12,False,Hal Film Maker
Crayon Shin-chan,TV,Manga,0,True,Shin-Ei Animation
Fruits Basket,TV,Manga,26,False,Studio Deen
Saiunkoku Monogatari,TV,Light novel,39,False,Madhouse
One Piece,TV,Manga,0,True,Toei Animation
Glass no Kamen (2005),TV,Manga,51,False,Tokyo Movie Shinsha
Air Gear,TV,Manga,25,False,Toei Animation
Saiunkoku Monogatari 2nd Season,TV,Light novel,39,False,Madhouse
InuYasha,TV,Manga,167,False,Sunrise
Chu-Bra!!,TV,Manga,12,False,Zexcs
Nodame Cantabile Finale,TV,Manga,11,False,J.C.Staff
Ghost Hunt,TV,Novel,25,False,J.C.Staff
Accel World,TV,Light novel,24,False,Sunrise
Bakuman.,TV,Manga,25,False,J.C.Staff
Nodame Cantabile,TV,Manga,23,False,J.C.Staff
Kamisama Hajimemashita,TV,Manga,13,False,TMS Entertainment
Cardcaptor Sakura,TV,Manga,70,False,Madhouse
Daa! Daa! Daa!,TV,Manga,78,False,J.C.Staff
Kimi ni Todoke 2nd Season,TV,Manga,12,False,Production I.G
Sekaiichi Hatsukoi,TV,Manga,12,False,Studio Deen
Code-E,TV,Original,12,False,Studio Deen
Junjou Romantica,TV,Manga,12,False,Studio Deen
Kiniro no Corda: Primo Passo,TV,Visual novel,25,False,Yumeta Company
D.Gray-man Hallow,TV,Manga,13,False,TMS Entertainment
Sengoku☆Paradise Kiwami,TV,Unknown,26,False,Milky Cartoon
Peace Maker Kurogane Movie 1: Omou Michi,Movie,Manga,1,False,White Fox
Boku wa Kuma,Music,Original,1,False,
Ane Koi: Suki Kirai Daisuki.,OVA,Manga,2,False,
Parasol Henbei,TV,Unknown,200,False,
Ginga Hyouryuu Vifam: Kieta 12-nin,OVA,Unknown,1,False,Sunrise
Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaimono,OVA,Original,1,False,Lerche
Chuuhai Lemon: Love 30s - Ame ni Nurete mo,OVA,Unknown,1,False,
Juuni Kokuki,TV,Novel,45,False,Studio Pierrot
Diabolik Lovers OVA,OVA,Visual novel,1,False,Production I.G
Ko Ko Ro,OVA,Unknown,2,False,
Tuzki: Love Assassin,ONA,Unknown,1,False,Studio 4°C
Lupin III: Lupin Ikka Seizoroi,Special,Unknown,1,False,
Neko Konogoro,TV,Manga,0,True,Kachidoki Studio
Ao no 6-gou,OVA,Manga,4,False,Gonzo
Ben-To Picture Drama,Special,Light novel,6,False,David Production
Gasshin Sentai Mechander Robo,TV,Unknown,35,False,
Seikai no Monshou Special,Special,Light novel,1,False,Sunrise
Tegamibachi Gakuen,Special,Original,25,False,Studio Pierrot
Oniku Daisuki! Zeushi-kun: Suteki na Hamburger,ONA,Original,1,False,DLE
Soul Buster,TV,Manga,12,False,Studio Pierrot
Mobile Suit Gundam: Zeonic Front - Indignation of Zeon.,Special,Unknown,1,False,Sunrise
Karakuri Circus,TV,Manga,36,False,Studio VOLN
Nanumu no Ie,Movie,Other,1,False,
Death Billiards,Movie,Original,1,False,Madhouse
Fake Style II,Music,Music,1,False,
Live On Cardliver Kakeru,TV,Manga,51,False,TMS Entertainment
Gegege no Kitarou: Saikyou Youkai Gundan! Nippon Jouriku!!,Movie,Unknown,1,False,Toei Animation
Kokudo Oh,OVA,Visual novel,5,False,
Triage X,TV,Manga,10,False,Xebec
Shinkai no Kantai: Submarine 707,OVA,Manga,1,False,J.C.Staff
Densha Kamo Shirenai,Music,Music,1,False,
Ylion to Callysia,Movie,Original,1,False,
Nanatsu no Bitoku,TV,Other,10,False,Bridge
Metropolis (2009),Movie,Unknown,1,False,
Hai to Gensou no Grimgar Special,Special,Light novel,1,False,A-1 Pictures
Medamayaki no Kimi Itsu Tsubusu?,Special,Manga,4,False,Fanworks
Watashi no Ashinaga Ojisan Specials,Special,Unknown,2,False,Nippon Animation
Duel Masters Movie 1: Yami no Shiro no Maryuuou,Movie,Original,1,False,
Bounty Dog: Getsumen no Ibu,OVA,Original,2,False,Animate Film
Hurricane Live! 2033,Special,Unknown,7,False,
Densetsu no Yuusha no Densetsu: Iris Report,Special,Unknown,1,False,Zexcs
Aisai Nikki,OVA,Visual novel,1,False,G-Lam
Chikyuu Shoujo Arjuna,TV,Original,13,False,Satelight
Peeping Life 5.0ch,OVA,Original,10,False,
K-On!!,TV,4-koma manga,26,False,Kyoto Animation
Haru wo Daite Ita,OVA,Manga,2,False,Trinet Entertainment
Pokemon 3D Adventure 2: Pikachu no Kaitei Daibouken,Movie,Game,1,False,OLM
Soredemo Machi wa Mawatteiru,TV,Manga,12,False,Shaft
Makkuro na Obentou,Movie,Unknown,1,False,
Code Geass: Hangyaku no Lelouch Picture Drama - Hajimari no Zenya,Special,Original,1,False,
Scan2Go,TV,Unknown,52,False,SynergySP
3 Choume no Tama: Onegai! Momo-chan wo Sagashite!!,Movie,Unknown,1,False,
Shokuzai no Kyoushitsu,OVA,Unknown,2,False,
Majokko Shimai no Yoyo to Nene,Movie,Manga,1,False,ufotable
Yuu☆Yuu☆Hakusho Special,Special,Manga,1,False,Studio Pierrot
Bernard-jou Iwaku.,TV,Manga,12,False,Creators in Pack
Himitsu no Akko-chan (Movie),Movie,Unknown,1,False,Toei Animation
Calihara no Uta,Movie,Original,1,False,
Aoi Umi no Tristia,OVA,Visual novel,2,False,ufotable
Dae Jang Geum: Jang Geum&#039;s Dream,TV,Other,26,False,
Space☆Dandy,TV,Original,13,False,Bones
Tetsuwan Atom: Ivan no Wakusei - Robot to Ningen no Yuujou,Movie,Unknown,1,False,
Ohi-sama to Kaeru,Movie,Original,1,False,
Nanatsu no Taizai OVA,OVA,Manga,2,False,A-1 Pictures
Ribbon no Kishi (1999),Movie,Unknown,1,False,
Aoki Hagane no Arpeggio: Ars Nova,TV,Manga,12,False,SANZIGEN
ClassicaLoid 2nd Season,TV,Original,25,False,Sunrise
Juvenile Pornography The Animation,OVA,Manga,1,False,Office Takeout
Ichigo Ichie: Koibana Tomobana,TV,Unknown,13,False,
Doraemon: Time Machine de Oshougatsu,Special,Unknown,1,False,
Chirin no Suzu,Movie,Picture book,1,False,Sanrio
MD Geist II: Death Force,OVA,Unknown,1,False,Zero-G Room
Re:Creators,TV,Original,22,False,TROYCA
Hajimari no Boukensha-tachi: Legend of Crystania,Movie,Unknown,1,False,Triangle Staff
Magical Music Train,Music,Music,1,False,
Rekka no Honoo,TV,Manga,42,False,Studio Pierrot
Cosmic Fantasy: Ginga Mehyou no Wana,OVA,Game,1,False,
Hibike! Euphonium,TV,Novel,13,False,Kyoto Animation
Gintama.: Shirogane no Tamashii-hen,TV,Manga,12,False,Bandai Namco Pictures
Gun-dou Musashi,TV,Original,26,False,ACC Production
Yaseruyagi,ONA,Original,1,False,
Galactic Patrol Lensman,TV,Unknown,25,False,Madhouse
Denki-gai no Honya-san,TV,Manga,12,False,Shin-Ei Animation
MaxValu Kyushu,Special,Original,1,False,
Uchi no 3 Shimai,TV,Other,141,False,Toei Animation
Kuroko no Basket: Oshaberi Demo Shimasen ka,Special,Unknown,1,False,Production I.G
Cross Road,Special,Original,1,False,
Hourou Musuko Specials,Special,Manga,2,False,AIC Classic
Koi to Uso OVA,OVA,Manga,2,False,LIDENFILMS
Esper Mami: Hoshizora no Dancing Doll,Movie,Unknown,1,False,Shin-Ei Animation
Carol & Tuesday,TV,Original,0,False,Bones
"Akai Shouzou: Char, Soshite Frontal e",Special,Unknown,1,False,Sunrise
Gakkatsu! 2nd Season,TV,Unknown,25,False,Fanworks
Tsuru no Sugomori,Movie,Unknown,1,False,
Selector Infected WIXOSS,TV,Card game,12,False,J.C.Staff
Hane (2016),Music,Music,1,False,
Gokujo.: Gokurakuin Joshikou Ryou Monogatari,TV,Manga,12,False,LMD
Bannou Bunka Neko-Musume Specials,Special,Unknown,2,False,Production Reed
Ultra B,TV,Manga,119,False,Shin-Ei Animation
Saint☆Oniisan (Movie),Movie,Manga,1,False,A-1 Pictures
Makai Tenshi Djibril,OVA,Visual novel,4,False,
Supernatural The Animation,OVA,Other,22,False,Madhouse
Soukan Yuugi,OVA,Visual novel,2,False,
Andromeda Stories,Special,Manga,1,False,Toei Animation
Houkago Initiation,OVA,Manga,2,False,
ACCA: 13-ku Kansatsu-ka,TV,Manga,12,False,Madhouse
Future GPX Cyber Formula: Early Days Renewal,OVA,Unknown,2,False,Sunrise
Dennou Sentai Voogie&#039;s★Angel Gaiden: Susume! Super★Angels!,OVA,Unknown,2,False,J.C.Staff
Gokuu no Daibouken,TV,Unknown,39,False,Mushi Production
Kitty to Daniel no Suteki na Christmas,OVA,Unknown,1,False,
Alice to Zouroku,TV,Manga,12,False,J.C.Staff
Micchiri Neko,TV,Web manga,13,False,helo.inc
Slayers,TV,Light novel,26,False,E&amp;G Films
Seikaisuru Kado,TV,Original,12,False,Toei Animation
Dragon Ball Super,TV,Manga,131,False,Toei Animation
Genshiken Nidaime Specials,Special,Unknown,4,False,Production I.G
Shinshaku Sengoku Eiyuu Densetsu: Sanada Juu Yuushi The Animation,TV,Unknown,12,False,Group TAC
Shiro Hon,TV,Unknown,6,False,
Yama no Susume,TV,Manga,12,False,8bit
Kuroinu: Kedakaki Seijo wa Hakudaku ni Somaru,OVA,Visual novel,4,False,Majin
Princess Principal,TV,Original,12,False,Actas
Nyanpire The Animation,TV,Manga,12,False,Gonzo
Kira Kira 5th Anniversary Live Anime: Kick Start Generation,OVA,Visual novel,1,False,Silver Link.
Tenpou Ibun: Ayakashi Ayashi,TV,Original,25,False,Bones
Pokopon no Yukai na Saiyuuki,Movie,Original,1,False,
Persona 4 the Animation,TV,Game,25,False,AIC A.S.T.A.
Fate/stay night Movie: Unlimited Blade Works,Movie,Visual novel,1,False,Studio Deen
Udauda Yatteru Hima wa Nee!,OVA,Unknown,2,False,J.C.Staff
Boku dake no Hentai Kanojo The Animation,OVA,Manga,1,False,
Menghuan Xiyou,ONA,Game,13,False,
Luv Wave,OVA,Visual novel,3,False,
Lupin III: Seven Days Rhapsody,Special,Unknown,1,False,TMS Entertainment
Sidonia no Kishi 3,Unknown,Manga,0,False,
Ski Jumping Pairs: Road to Torino 2006,Movie,Unknown,1,False,
Nazotoki-hime wa Meitantei♥,OVA,Manga,6,False,SynergySP
Thermae Romae x LOFT Collaboration,Special,Unknown,1,False,DLE
Fairy Tail,TV,Manga,175,False,Satelight
Marvel Future Avengers,TV,Other,26,False,Madhouse
Chalk-iro no People,OVA,Unknown,1,False,
Super Seisyun Brothers,TV,Web manga,14,False,AIC Plus+
Baku Ane: Otouto Shibocchau zo! The Animation,OVA,Visual novel,1,False,Seven
Sei Shoujo The Animation,OVA,Visual novel,1,False,Office Takeout
Ryoujoku Guerrilla Kari 3,OVA,Visual novel,2,False,
Ore ga Kanojo wo *su Wake,OVA,Original,0,True,
Seto no Hanayome Fan Disc,Special,Manga,2,False,Gonzo
Momo Kyun Sword,TV,Light novel,12,False,Project No.9
Bust to Bust: Chichi wa Chichi ni,OVA,Manga,3,False,
Onara Gorou,TV,Original,13,False,ILCA
A-Size Classmate,OVA,Manga,2,False,
Taikong Lixianji,TV,Original,26,False,
Kono Minikuku mo Utsukushii Sekai,TV,Original,12,False,Gainax
Go! Go! 575,TV,Game,4,False,C2C
Daybreak Interlude,Music,Game,1,False,
Mezzo Forte,OVA,Original,2,False,Arms
Shirahata no Shoujo Ryuuko,Movie,Unknown,1,False,
Master Keaton,TV,Manga,24,False,Madhouse
Choujin Densetsu Urotsukidouji: Mirai-hen,OVA,Unknown,4,False,
Shoujo kara Shoujo e...,OVA,Manga,2,False,BreakBottle
Angel&#039;s Feather,OVA,Visual novel,2,False,Venet
"Busou Shoujo Machiavellianism: Doki! ""Goken-darake"" no Ian Ryokou",OVA,Manga,1,False,Silver Link.
Platonic Chain: Ansatsu Jikkouchuu,Special,Novel,1,False,
Shugo Chara! Party!,TV,Manga,25,False,Satelight
Devilman Memorial,OVA,Manga,1,False,Toei Animation
Working&#039;!!,TV,4-koma manga,13,False,A-1 Pictures
Haikara-san ga Tooru,TV,Manga,42,False,Nippon Animation
Henbou Moral Hazard,OVA,Unknown,1,False,
Dolphin Ouji,TV,Unknown,3,False,
Samayou Midara na Lunatics,OVA,Visual novel,2,False,
Pochacco no Jack to Mame no Ki,OVA,Unknown,1,False,
Nintama Rantarou Movie,Movie,Unknown,1,False,Ajia-Do
Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!,Special,Manga,1,False,Studio Pierrot
Meshimase Lodoss-tou Senki: Sorette Oishii no?,TV,Unknown,13,False,Studio Deen
Dragon Ball Specials,Special,Manga,2,False,Toei Animation
Treasure Gaust,TV,Unknown,5,False,SynergySP
Ar:pieL - 6-seosgaeui Unmyeong,ONA,Game,11,False,
Petit Eva: Evangelion@School,ONA,Original,24,False,Xebec
City Hunter: Kinkyuu Namachuukei!? Kyouakuhan Saeba Ryou no Saigo,Special,Unknown,1,False,Sunrise
Binan Koukou Chikyuu Boueibu LOVE!,TV,Original,12,False,Diomedea
Tatamp,Movie,Unknown,1,False,
Gongnyong Baengmannyeon Ttori,Movie,Unknown,1,False,
Ghiblies,Special,Original,2,False,Studio Ghibli
WWW.Working!!,TV,Web manga,13,False,A-1 Pictures
Balloon,ONA,Original,1,False,
Girlfriend (Note),ONA,Game,3,False,
Yamiyo no Jidaigeki,Special,Unknown,2,False,Sunrise
Shin Mitsubachi Maya no Bouken,TV,Unknown,52,False,Nippon Animation
R.O.D the TV,TV,Light novel,26,False,J.C.Staff
Mahou no Star Magical Emi: Finale! Finale!,OVA,Original,1,False,Studio Pierrot
Osamishi Tani no Wakare Uta,Movie,Original,1,False,
Kuroko no Basket: Baka ja Katenai no yo!,OVA,Unknown,1,False,Production I.G
Hacka Doll The Animation,TV,Other,13,False,Creators in Pack
Dr. Slump: Arale-chan Specials,Special,Manga,2,False,Toei Animation
Ranma ½: 1994 Music Calendar,OVA,Unknown,1,False,
Yami no Purple Eye,Music,Manga,1,False,Toei Animation
Anime Koukyoushi: Jungle Taitei,OVA,Unknown,1,False,Madhouse
Akai Koudan Zillion: Utahime Yakyoku,Special,Unknown,1,False,Production I.G
Sore Ike! Anpanman: Kirakira Boshi no Namida,Movie,Unknown,1,False,
Konna Watashitachi ga Nariyuki de Heroine ni Natta Kekka www,Movie,Unknown,1,False,
Nezumi-kun no Chokki,OVA,Unknown,4,False,Toei Animation
Defend Love,Music,Unknown,1,False,Sunrise
Apache Yakyuugun,TV,Manga,26,False,Toei Animation
Good Morning!!! Doronjo,TV,Original,243,False,Oddjob
Kiss x Sis (TV),TV,Manga,12,False,feel.
Koto no Shidai,Music,Original,1,False,
Ganbare! Marine Kid,TV,Unknown,13,False,
Kanojo x Kanojo x Kanojo: Sanshimai to no DokiDoki Kyoudou Seikatsu,OVA,Visual novel,3,False,Studio Eromatick
Dr. Slump: Hoyoyo! Arale no Himitsu Dai Koukai dayo!!,Special,Manga,1,False,Toei Animation
Tick Tock,Music,Music,1,False,
Kanzen Mushusei: Sorezore no Houkago,OVA,Unknown,1,False,
Crayon Shin-chan x Panpaka Pants: Aeon Cinema Manner Movie Collab,ONA,Original,1,False,Shin-Ei Animation
Yakin Byoutou Ni,OVA,Visual novel,5,False,AT-2
Tennis no Ouji-sama,TV,Manga,178,False,Trans Arts
Egao,Music,Original,1,False,
Raldessia Chronicles,ONA,Game,1,False,
Gunnm,OVA,Manga,2,False,Madhouse
Velvet Underworld: Alternative,Music,Original,1,False,
Ukkari Pénélope (2009),TV,Unknown,26,False,Nippon Animation
Akai Kiba: Blue Sonnet,OVA,Manga,5,False,Tatsunoko Production
The Aurora: Umi no Aurora,Movie,Unknown,1,False,
Kami nomi zo Shiru Sekai: Natsu-iro Surprise,Music,Unknown,1,False,Manglobe
Beat Shot!!,OVA,Manga,1,False,Gainax
T7S Longing for Summer Again and Again: Harukaze,Music,Game,1,False,Chiptune
Detective Conan Movie 21: The Crimson Love Letter,Movie,Manga,1,False,TMS Entertainment
Kakko Kawaii Sengen!,TV,Original,5,False,
Punky Funky Baby,OVA,Unknown,1,False,
Na mo Nai Hana no Youni,Music,Original,1,False,
Mechakko Dotakon,TV,Unknown,28,False,
Hello Kitty no Yume no Oshiro no Ouji-sama,OVA,Unknown,1,False,
Zettai Karen Children OVA: Aitazousei! Ubawareta Mirai?,OVA,Unknown,1,False,SynergySP
Raja Maharaja,Music,Music,1,False,
Ranma ½: DoCo Music Video,OVA,Unknown,1,False,
Umbrella Fighter!,Special,Original,4,False,
Akai Jitensha,Music,Original,1,False,
Zhan Long Si Qu,TV,Unknown,64,False,
Tang Lang Bu Chan,Movie,Other,1,False,Shanghai Animation Film Studio
To Heart 2 AD Plus,OVA,Unknown,2,False,
Donna Donna,Music,Music,1,False,
Gundress,Movie,Unknown,1,False,
Ojamajo Doremi Dokkaan!,TV,Unknown,51,False,Toei Animation
Danna ga Nani wo Itteiru ka Wakaranai Ken,TV,4-koma manga,13,False,Seven
Igano Kabamaru,TV,Manga,24,False,Group TAC
Mobile Suit Gundam Unicorn RE:0096,TV,Novel,22,False,Sunrise
Hataraku Maou-sama!,TV,Light novel,13,False,White Fox
Shin Maple Town Monogatari: Palm Town-hen - Konnichiwa! Atarashii Machi,Movie,Unknown,1,False,Toei Animation
D.C.II S.S.: Da Capo II Second Season,TV,Visual novel,13,False,feel.
Kurogane no Linebarrels Picture Drama,Special,Manga,9,False,Gonzo
Landscape,Movie,Original,1,False,
Only You: Viva! Cabaret Club,TV,Unknown,15,False,
Bakuretsu Tenshi: Infinity,OVA,Original,1,False,Gonzo
Fairy Tail Movie 1: Houou no Miko - Hajimari no Asa,Special,Manga,1,False,Satelight
Dominion,OVA,Manga,4,False,Agent 21
