title,score,members,favorites
Inu x Boku SS,7.63,283882,2809
Seto no Hanayome,7.89,204003,2579
Shugo Chara!! Doki,7.55,70127,802
Princess Tutu,8.21,93312,3344
Bakuman. 3rd Season,8.67,182765,2082
Yume-iro Pâtissière,8.03,45625,826
Ultra Maniac,7.26,22778,122
Shakugan no Shana II (Second),7.72,220591,1075
Nodame Cantabile: Paris-hen,8.24,85660,282
Ouran Koukou Host Club,8.34,538843,24072
Junjou Romantica 2,8.15,108186,1123
Kaichou wa Maid-sama!,8.2,531292,14436
Sekaiichi Hatsukoi 2,8.23,89543,726
Tonari no Kaibutsu-kun,7.71,482105,4064
Bleach,7.9,819284,40718
Chobits,7.53,317641,3271
Kimi ni Todoke,8.13,417136,8041
Naruto: Shippuuden,8.18,794112,42846
Ranma ½,7.85,134537,2742
Toradora!,8.39,910373,35322
Bakuman. 2nd Season,8.49,201720,1023
Gakuen Alice,7.77,62951,1403
Skip Beat!,8.24,164738,4668
Chihayafuru 2,8.47,114340,1116
Shounen Onmyouji,7.68,39422,274
Chihayafuru,8.29,213902,4524
Itazura na Kiss,7.7,170224,2632
Beelzebub,8.02,302082,3785
Hanasakeru Seishounen,7.87,44633,500
SKET Dance,8.33,130264,2474
B-gata H-kei,7.1,244791,1641
Crayon Shin-chan,7.73,34788,600
Fruits Basket,7.77,292572,7579
Saiunkoku Monogatari,8.04,61739,1059
One Piece,8.54,720133,69760
Glass no Kamen (2005),8.18,22123,365
Air Gear,7.64,235764,3254
Saiunkoku Monogatari 2nd Season,8.16,27481,201
InuYasha,7.9,371313,12282
Chu-Bra!!,6.3,37256,48
Nodame Cantabile Finale,8.34,84808,381
Ghost Hunt,7.92,152490,2579
Accel World,7.53,433343,3680
Bakuman.,8.32,332666,6846
Nodame Cantabile,8.41,198927,4443
Kamisama Hajimemashita,8.14,266342,6387
Cardcaptor Sakura,8.21,237669,9453
Daa! Daa! Daa!,7.78,15211,216
Kimi ni Todoke 2nd Season,8.12,224494,1117
Sekaiichi Hatsukoi,8.07,121752,2908
Code-E,6.49,13818,18
Junjou Romantica,7.99,146369,4707
Kiniro no Corda: Primo Passo,7.63,72255,1126
D.Gray-man Hallow,7.92,108764,825
Sengoku☆Paradise Kiwami,6.2,3989,2
Peace Maker Kurogane Movie 1: Omou Michi,0.0,4210,6
Boku wa Kuma,5.79,1111,1
Ane Koi: Suki Kirai Daisuki.,7.03,5600,37
Parasol Henbei,6.39,309,2
Ginga Hyouryuu Vifam: Kieta 12-nin,6.29,285,0
Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaimono,7.4,31844,276
Chuuhai Lemon: Love 30s - Ame ni Nurete mo,6.0,165,0
Juuni Kokuki,8.13,82925,1907
Diabolik Lovers OVA,6.04,19268,64
Ko Ko Ro,5.34,423,0
Tuzki: Love Assassin,5.87,482,1
Lupin III: Lupin Ikka Seizoroi,6.87,1926,0
Neko Konogoro,3.44,361,0
Ao no 6-gou,7.14,34469,184
Ben-To Picture Drama,6.15,8265,3
Gasshin Sentai Mechander Robo,6.17,412,0
Seikai no Monshou Special,7.35,2758,3
Tegamibachi Gakuen,7.42,7644,7
Oniku Daisuki! Zeushi-kun: Suteki na Hamburger,4.32,102,0
Soul Buster,5.91,16223,13
Mobile Suit Gundam: Zeonic Front - Indignation of Zeon.,5.86,1143,0
Karakuri Circus,0.0,986,0
Nanumu no Ie,4.86,49,0
Death Billiards,8.01,132203,226
Fake Style II,5.85,174,0
Live On Cardliver Kakeru,6.86,673,3
Gegege no Kitarou: Saikyou Youkai Gundan! Nippon Jouriku!!,6.17,342,0
Kokudo Oh,6.08,994,0
Triage X,6.41,81824,158
Shinkai no Kantai: Submarine 707,5.73,412,0
Densha Kamo Shirenai,5.62,632,2
Ylion to Callysia,5.86,313,0
Nanatsu no Bitoku,5.2,22001,47
Metropolis (2009),6.26,467,0
Hai to Gensou no Grimgar Special,6.65,29209,29
Medamayaki no Kimi Itsu Tsubusu?,5.92,811,0
Watashi no Ashinaga Ojisan Specials,6.41,199,0
Duel Masters Movie 1: Yami no Shiro no Maryuuou,5.96,896,2
Bounty Dog: Getsumen no Ibu,5.63,2147,3
Hurricane Live! 2033,6.73,1199,2
Densetsu no Yuusha no Densetsu: Iris Report,6.6,14153,19
Aisai Nikki,6.54,6450,39
Chikyuu Shoujo Arjuna,6.95,21106,159
Peeping Life 5.0ch,5.51,290,0
K-On!!,8.14,322621,7149
Haru wo Daite Ita,6.93,17989,92
Pokemon 3D Adventure 2: Pikachu no Kaitei Daibouken,7.13,6463,13
Soredemo Machi wa Mawatteiru,7.47,38419,143
Makkuro na Obentou,7.89,169,0
Code Geass: Hangyaku no Lelouch Picture Drama - Hajimari no Zenya,6.24,1890,2
Scan2Go,6.23,1062,5
3 Choume no Tama: Onegai! Momo-chan wo Sagashite!!,6.14,358,2
Shokuzai no Kyoushitsu,5.36,1883,3
Majokko Shimai no Yoyo to Nene,7.57,11187,17
Yuu☆Yuu☆Hakusho Special,0.0,6405,10
Bernard-jou Iwaku.,6.03,14460,13
Himitsu no Akko-chan (Movie),6.0,323,0
Calihara no Uta,5.56,134,0
Aoi Umi no Tristia,5.81,2569,0
Dae Jang Geum: Jang Geum&#039;s Dream,7.22,1799,7
Space☆Dandy,7.88,171855,2868
Tetsuwan Atom: Ivan no Wakusei - Robot to Ningen no Yuujou,6.3,556,0
Ohi-sama to Kaeru,4.2,445,0
Nanatsu no Taizai OVA,7.77,65495,94
Ribbon no Kishi (1999),6.14,243,0
Aoki Hagane no Arpeggio: Ars Nova,7.5,105762,800
ClassicaLoid 2nd Season,6.47,4497,7
Juvenile Pornography The Animation,6.49,1872,6
Ichigo Ichie: Koibana Tomobana,6.81,311,1
Doraemon: Time Machine de Oshougatsu,6.84,737,1
Chirin no Suzu,7.17,5161,21
MD Geist II: Death Force,5.13,5168,16
Re:Creators,7.69,214467,1717
Hajimari no Boukensha-tachi: Legend of Crystania,6.12,3423,4
Magical Music Train,4.7,129,0
Rekka no Honoo,7.42,41792,219
Cosmic Fantasy: Ginga Mehyou no Wana,5.63,438,0
Hibike! Euphonium,8.02,203942,3337
Gintama.: Shirogane no Tamashii-hen,8.85,42265,393
Gun-dou Musashi,6.06,4777,15
Yaseruyagi,4.03,100,0
Galactic Patrol Lensman,6.49,680,1
Denki-gai no Honya-san,7.27,80620,210
MaxValu Kyushu,5.0,40,0
Uchi no 3 Shimai,6.66,334,2
Kuroko no Basket: Oshaberi Demo Shimasen ka,7.35,12252,5
Cross Road,7.5,36029,62
